topicid,pid,relevent_score
CD011984,10932977,1
CD011984,10719325,1
CD011984,14746340,1
CD011984,1694288,1
CD011984,9793975,1
CD011984,10370769,1
CD011984,9793970,1
CD011984,12124691,1
CD011984,7514291,1
CD011984,10730073,1
CD011984,14723746,1
CD011984,2447932,1
CD011984,10698877,1
CD011984,9602476,1
CD011984,16088864,1
CD011984,10493028,1
CD011984,16239650,1
CD011984,12948096,1
CD011984,9642606,1
CD011984,10740204,1
CD011984,7685092,1
CD011984,9799767,1
CD011984,8821849,1
CD011984,8823604,1
CD011984,15262353,1
CD011984,10505009,1
CD011984,16723105,1
CD011984,11746159,1
CD011984,7514290,1
CD011984,1710952,1
CD011984,12468159,1
CD011984,16601476,1
CD011984,16526003,1
CD011984,9987687,1
CD011984,2151180,1
CD011984,16018135,1
CD011984,11506458,1
CD011984,7479592,1
CD011984,7479593,1
CD011984,16394033,1
CD011984,9369838,1
CD011984,2151560,1
CD011984,12491624,1
CD011984,7955459,1
CD011984,9467810,1
CD011984,11373844,1
CD011984,9706649,1
CD011984,17154235,1
CD011984,9236646,1
CD011984,6201071,1
CD011984,10406664,1
CD011984,8783867,1
CD011984,12798540,1
CD011984,2531546,1
CD011984,7678369,1
CD011984,1287642,1
CD011984,11209176,1
CD011984,8155202,1
CD011984,8420319,1
CD011984,1694994,1
CD011984,8177831,1
CD011984,1379344,1
CD011984,7971765,1
CD011984,9688417,1
CD011984,14698332,1
CD011984,1829379,1
CD011984,16104673,1
CD011984,7850598,1
CD011984,11165209,1
CD011984,9061761,1
CD011984,11477806,1
CD011984,7677967,1
CD011984,12424764,1
CD011984,9918086,1
CD011984,8796802,1
CD011984,2971018,1
CD011984,9052584,1
CD011984,7485301,1
CD011984,7485339,1
CD011984,1375379,1
CD011984,7544068,1
CD011984,10360516,1
CD011984,10360515,1
CD011984,9166801,1
CD011984,15791658,1
CD011984,12575025,1
CD011984,15458882,1
CD011984,15340255,1
CD011984,7544898,1
CD011984,12575027,1
CD011984,7647060,1
CD011984,12521697,1
CD011984,16363364,1
CD011984,15816008,1
CD011984,16634118,1
CD011984,2475017,1
CD011984,2475015,1
CD011984,9450880,1
CD011984,11130099,1
CD011984,11084551,1
