topicid,pid,relevent_score
CD011134,3871566,1
CD011134,3951166,1
CD011134,21922357,1
CD011134,21105619,1
CD011134,7046656,1
CD011134,17174516,1
CD011134,555768,1
CD011134,17932750,1
CD011134,19488584,1
CD011134,22442906,1
CD011134,7226032,1
CD011134,697433,1
CD011134,7619581,1
CD011134,2667446,1
CD011134,1339738,1
CD011134,1936302,1
CD011134,4140265,1
CD011134,8137675,1
CD011134,426170,1
CD011134,23993799,1
CD011134,3864628,1
CD011134,4048893,1
CD011134,7229472,1
CD011134,21760561,1
CD011134,3918217,1
CD011134,2294807,1
CD011134,20162425,1
CD011134,6504398,1
CD011134,6888730,1
CD011134,7248444,1
CD011134,709514,1
CD011134,9100477,1
CD011134,7311186,1
CD011134,1247300,1
CD011134,4075992,1
CD011134,10207736,1
CD011134,2781236,1
CD011134,7067557,1
CD011134,684571,1
CD011134,23713869,1
CD011134,628054,1
CD011134,4427460,1
CD011134,17116621,1
CD011134,3344897,1
CD011134,3462448,1
CD011134,6173181,1
CD011134,3470172,1
CD011134,10674446,1
CD011134,3476692,1
CD011134,15627885,1
CD011134,20100688,1
CD011134,6354822,1
CD011134,8691835,1
CD011134,2488519,1
CD011134,7126423,1
CD011134,17566830,1
CD011134,3210846,1
CD011134,5067755,1
CD011134,8223061,1
CD011134,7207116,1
CD011134,1507478,1
CD011134,6857209,1
CD011134,7827902,1
CD011134,1914746,1
CD011134,8313783,1
CD011134,22948771,1
CD011134,7395229,1
CD011134,6956758,1
CD011134,10411440,1
CD011134,16450212,1
CD011134,22552946,1
CD011134,683276,1
CD011134,7310333,1
CD011134,6634422,1
CD011134,22842225,1
CD011134,1431340,1
CD011134,7325563,1
CD011134,16998681,1
CD011134,849560,1
CD011134,12053228,1
CD011134,3459133,1
CD011134,3673304,1
CD011134,17555577,1
CD011134,8601361,1
CD011134,9208962,1
CD011134,679156,1
CD011134,8076486,1
CD011134,3703341,1
CD011134,17457032,1
CD011134,3723883,1
CD011134,3856076,1
CD011134,9645739,1
CD011134,9823977,1
CD011134,12705555,1
CD011134,19757443,1
CD011134,20002699,1
CD011134,522488,1
CD011134,7369462,1
CD011134,23136819,1
CD011134,16124375,1
CD011134,6507742,1
CD011134,17573747,1
CD011134,9862623,1
CD011134,7103688,1
CD011134,6789243,1
CD011134,8687164,1
CD011134,3949243,1
CD011134,17649792,1
CD011134,9749496,1
CD011134,22166547,1
CD011134,8129484,1
CD011134,9216852,1
CD011134,6623661,1
CD011134,19564531,1
CD011134,9671067,1
CD011134,21724118,1
CD011134,10336810,1
CD011134,7436700,1
CD011134,7357243,1
CD011134,3971297,1
CD011134,4071492,1
CD011134,2830075,1
CD011134,2479175,1
CD011134,1000469,1
CD011134,16649724,1
CD011134,431843,1
CD011134,7411991,1
CD011134,7231281,1
CD011134,1220002,1
CD011134,22563201,1
CD011134,12585359,1
CD011134,3816909,1
CD011134,2271809,1
CD011134,1419646,1
CD011134,2423655,1
CD011134,6464483,1
CD011134,7212050,1
CD011134,7418332,1
CD011134,8878497,1
CD011134,9974027,1
CD011134,16365182,1
CD011134,20217258,1
CD011134,6733018,1
CD011134,10958511,1
CD011134,7774474,1
CD011134,11036130,1
CD011134,6689962,1
CD011134,9176713,1
CD011134,709510,1
CD011134,9872539,1
CD011134,9708004,1
CD011134,12352596,1
CD011134,17266652,1
CD011134,24430319,1
CD011134,8080745,1
CD011134,1568399,1
CD011134,444049,1
CD011134,17103264,1
CD011134,10037299,1
CD011134,2620629,1
CD011134,7750106,1
CD011134,2379591,1
CD011134,8854349,1
CD011134,9814374,1
CD011134,1247968,1
CD011134,1202621,1
CD011134,6404406,1
CD011134,20648586,1
CD011134,22644560,1
CD011134,8272763,1
CD011134,23711333,1
CD011134,8712616,1
CD011134,1475624,1
CD011134,3803120,1
CD011134,6858539,1
CD011134,15749591,1
CD011134,11085731,1
CD011134,9075747,1
CD011134,15239990,1
CD011134,7392594,1
CD011134,2799440,1
CD011134,1111949,1
CD011134,11326645,1
CD011134,11602894,1
CD011134,7406353,1
CD011134,4425888,1
CD011134,19629600,1
CD011134,875869,1
CD011134,21173292,1
CD011134,19565285,1
CD011134,3172515,1
CD011134,12626905,1
CD011134,11237491,1
CD011134,16804977,1
CD011134,3574501,1
CD011134,8146525,1
CD011134,18633674,1
CD011134,7575117,1
CD011134,7318620,1
CD011134,7318628,1
CD011134,4033990,1
CD011134,11948229,1
CD011134,9640796,1
CD011134,23067526,1
CD011134,3970315,1
CD011134,6133709,1
CD011134,10470173,1
CD011134,7148317,1
CD011134,8843115,1
CD011134,22480117,1
CD011134,21263760,1
CD011134,9378783,1
CD011134,7439224,1
CD011134,3341547,1
CD011134,15655619,1
