topicid,pid,relevent_score
CD007427,15507585,1
CD007427,19708636,0
CD007427,18066578,0
CD007427,9754471,1
CD007427,19250050,0
CD007427,18218328,0
CD007427,18369594,0
CD007427,16458798,0
CD007427,18218327,0
CD007427,16414467,0
CD007427,15634822,0
CD007427,15871742,0
CD007427,18978411,0
CD007427,19059801,1
CD007427,16882895,0
CD007427,18587506,0
CD007427,16041500,0
CD007427,16882890,0
CD007427,16779827,0
CD007427,19394170,0
CD007427,19730855,0
CD007427,18375269,0
CD007427,19294409,0
CD007427,18004606,0
CD007427,19933654,0
CD007427,18758045,0
CD007427,19297198,0
CD007427,18326164,0
CD007427,19364887,0
CD007427,17042899,0
CD007427,18399578,0
CD007427,16679225,0
CD007427,19147319,0
CD007427,18399573,0
CD007427,19487132,0
CD007427,19776341,0
CD007427,19776342,0
CD007427,19002667,0
CD007427,17467393,0
CD007427,19637306,0
CD007427,17182647,0
CD007427,19038713,0
CD007427,19038712,0
CD007427,19787502,0
CD007427,17193870,0
CD007427,19214508,0
CD007427,16927088,0
CD007427,19930909,0
CD007427,16093533,0
CD007427,16093532,0
CD007427,18182197,0
CD007427,16443102,0
CD007427,18182198,0
CD007427,17563662,0
CD007427,18548557,0
CD007427,19494758,0
CD007427,18691376,0
CD007427,17461398,1
CD007427,18837193,0
CD007427,18837192,0
CD007427,15689868,0
CD007427,16969638,0
CD007427,17300787,0
CD007427,19741350,0
CD007427,18558498,0
CD007427,17524676,0
CD007427,17671017,0
CD007427,17671016,0
CD007427,16296651,0
CD007427,18774738,0
CD007427,17530226,0
CD007427,18774737,0
CD007427,16600252,0
CD007427,20048492,0
CD007427,19046640,0
CD007427,16632711,0
CD007427,16735587,1
CD007427,19219317,0
CD007427,4055864,1
CD007427,18322690,0
CD007427,18511530,0
CD007427,16899656,0
CD007427,19541525,0
CD007427,19934137,0
CD007427,19561254,0
CD007427,18416592,0
CD007427,16649891,0
CD007427,19811715,0
CD007427,17021902,0
CD007427,18607647,0
CD007427,18309180,0
CD007427,18514110,0
CD007427,18514115,0
CD007427,19210869,0
CD007427,16396700,0
CD007427,18838403,1
CD007427,19246558,0
CD007427,16462449,0
CD007427,8934482,1
CD007427,17454799,0
CD007427,18708847,0
CD007427,18270389,0
CD007427,16226651,0
CD007427,19132346,0
CD007427,20025761,0
CD007427,19708627,0
CD007427,19292236,0
CD007427,14977651,1
CD007427,17937973,0
CD007427,19708628,0
CD007427,15788594,0
CD007427,19586809,0
CD007427,17601479,0
CD007427,15723009,0
CD007427,15839308,0
CD007427,16450185,0
CD007427,17054230,0
CD007427,19959652,0
CD007427,16882896,0
CD007427,17086382,0
CD007427,19091597,0
CD007427,12659820,1
CD007427,19214690,0
CD007427,17375448,0
CD007427,19346036,0
CD007427,17936025,0
CD007427,16862340,0
CD007427,16829247,0
CD007427,18332687,0
CD007427,19098184,0
CD007427,17868838,0
CD007427,17868836,0
CD007427,18499376,0
CD007427,18788982,0
CD007427,18019983,0
CD007427,18019988,0
CD007427,17138842,0
CD007427,16680380,0
CD007427,9784804,1
CD007427,17512483,0
CD007427,16085607,0
CD007427,19058978,0
CD007427,16322616,0
CD007427,18375268,0
CD007427,17983467,0
CD007427,19776338,0
CD007427,18953975,0
CD007427,18090453,1
CD007427,18799326,0
CD007427,16927071,0
CD007427,17193867,0
CD007427,15966539,1
CD007427,20001935,0
CD007427,20010297,0
CD007427,17545443,0
CD007427,19019228,0
CD007427,19218053,0
CD007427,16179197,0
CD007427,9848599,1
CD007427,17509903,0
CD007427,15681266,0
CD007427,19494761,0
CD007427,19291933,0
CD007427,19407290,0
CD007427,17187282,0
CD007427,19054712,0
CD007427,17520356,0
CD007427,20055350,0
CD007427,20055356,0
CD007427,18829940,0
CD007427,17931908,0
CD007427,17931909,0
CD007427,17931906,0
CD007427,19309049,0
CD007427,17931904,0
CD007427,15995110,0
CD007427,20052957,0
CD007427,19788959,0
CD007427,18996236,0
CD007427,18315376,0
CD007427,18043780,0
CD007427,19788957,0
CD007427,15756189,0
CD007427,15756188,0
CD007427,18483248,0
CD007427,19208486,0
CD007427,16435349,0
CD007427,17464615,0
CD007427,16751732,0
CD007427,16315115,0
CD007427,16200386,0
CD007427,18363045,0
CD007427,15726094,0
CD007427,16399460,0
CD007427,18618117,0
CD007427,16399462,0
CD007427,15894730,0
CD007427,17349485,0
CD007427,9699824,1
CD007427,16328380,0
CD007427,17711424,0
CD007427,18830795,0
CD007427,16603286,0
CD007427,16210463,1
CD007427,17349464,0
CD007427,19258623,0
CD007427,17031613,0
CD007427,18061113,0
CD007427,18061114,0
CD007427,18061116,0
CD007427,18354142,0
CD007427,18594094,0
CD007427,18198786,0
CD007427,18354140,0
CD007427,15855096,0
CD007427,17214391,0
CD007427,9409800,1
CD007427,17393674,0
CD007427,19190053,0
CD007427,16529658,0
CD007427,19531660,0
CD007427,18282782,0
CD007427,19190054,0
CD007427,17106273,0
CD007427,17087883,0
CD007427,19769415,0
CD007427,9509826,1
CD007427,16253043,0
CD007427,19214689,0
CD007427,19341923,0
CD007427,19341920,0
CD007427,15687170,0
CD007427,19292357,0
CD007427,16826091,0
CD007427,18092172,0
CD007427,18237707,0
CD007427,16140806,0
CD007427,19122404,0
CD007427,17998184,0
CD007427,19031167,0
CD007427,18375285,0
CD007427,15748923,0
CD007427,16857978,0
CD007427,19997667,0
CD007427,16002492,0
CD007427,19294377,0
CD007427,20082510,0
CD007427,19294378,0
CD007427,11152790,1
CD007427,16085613,0
CD007427,17932406,0
CD007427,17708564,0
CD007427,16085619,0
CD007427,18644738,0
CD007427,10627426,1
CD007427,15921471,0
CD007427,15891500,0
CD007427,17343249,0
CD007427,16121388,0
CD007427,19440695,0
CD007427,20092372,0
CD007427,15674840,1
CD007427,17333122,0
CD007427,17333123,0
CD007427,15983127,0
CD007427,19204368,0
CD007427,15726327,0
CD007427,19204365,0
CD007427,17974892,0
CD007427,19204363,0
CD007427,17665470,0
CD007427,17574876,0
CD007427,19521014,0
CD007427,17004263,0
CD007427,5054450,1
CD007427,18804400,0
CD007427,19739591,0
CD007427,18057671,0
CD007427,16517370,0
CD007427,17064824,0
CD007427,19755551,0
CD007427,17939484,0
CD007427,19229044,0
CD007427,19229046,0
CD007427,16472394,0
CD007427,19556468,0
CD007427,18996735,1
CD007427,18036846,0
CD007427,20082183,0
CD007427,16628056,0
CD007427,18036840,0
CD007427,18036841,0
CD007427,16840776,0
CD007427,16225693,0
CD007427,15995469,0
CD007427,17985541,0
CD007427,15635053,0
CD007427,17225150,0
CD007427,17597949,0
CD007427,19358393,0
CD007427,16399471,0
CD007427,17416129,0
CD007427,18448579,0
CD007427,17416123,0
CD007427,17416125,0
CD007427,19318282,0
CD007427,16119411,0
CD007427,17690321,0
CD007427,16325080,0
CD007427,16151824,0
CD007427,18939988,0
CD007427,18757763,0
CD007427,18850322,0
CD007427,16307290,0
CD007427,18375403,1
CD007427,19633301,0
CD007427,19945585,0
CD007427,17907433,0
CD007427,19769913,0
CD007427,16022271,0
CD007427,18430594,0
CD007427,18430593,0
CD007427,16601984,0
CD007427,16028034,0
CD007427,19648720,0
CD007427,16943859,1
CD007427,18835792,0
CD007427,16691385,0
CD007427,19409148,0
CD007427,16140812,0
CD007427,15827365,0
CD007427,15827367,0
CD007427,15687748,0
CD007427,15911667,0
CD007427,15911666,0
CD007427,16437046,0
CD007427,16423952,0
CD007427,16002483,0
CD007427,16002486,0
CD007427,17447711,0
CD007427,16002489,0
CD007427,3345138,1
CD007427,17883968,0
CD007427,16947053,0
CD007427,16762695,0
CD007427,16762699,0
CD007427,19224061,0
CD007427,19735563,0
CD007427,15866244,1
CD007427,15024575,0
CD007427,17084291,0
CD007427,17581904,0
CD007427,17084292,0
CD007427,18207431,0
CD007427,11154365,1
CD007427,16813452,0
CD007427,19562265,0
CD007427,18420213,0
CD007427,15930531,0
CD007427,15930537,0
CD007427,19011582,0
CD007427,18280016,0
CD007427,16337532,0
CD007427,16337530,0
CD007427,19349223,0
CD007427,15840617,0
CD007427,19128949,0
CD007427,18243202,0
CD007427,16849802,0
CD007427,15908528,0
CD007427,18157491,0
CD007427,17304073,0
CD007427,16493175,1
CD007427,19042920,0
CD007427,19750995,0
CD007427,19427282,0
CD007427,18201659,0
CD007427,18201657,0
CD007427,18201656,0
CD007427,18201655,0
CD007427,18201653,0
CD007427,17042025,0
CD007427,19714274,0
CD007427,19062313,0
CD007427,16195065,0
CD007427,17684730,0
CD007427,17321153,0
CD007427,17728506,1
CD007427,17903710,0
CD007427,16048139,0
CD007427,17629508,0
CD007427,15615971,0
CD007427,15944642,0
CD007427,15944641,0
CD007427,16651161,0
CD007427,16892932,0
CD007427,16651165,0
CD007427,15685073,0
CD007427,16570176,0
CD007427,18718766,0
CD007427,17096173,0
CD007427,19153543,0
CD007427,19153544,0
CD007427,18929031,0
CD007427,15971426,0
CD007427,18595743,0
CD007427,15773565,1
CD007427,16325077,0
CD007427,19188318,0
CD007427,16038854,0
CD007427,17986401,0
CD007427,7632305,1
CD007427,20016342,0
CD007427,16037506,0
CD007427,16037507,0
CD007427,16900354,0
CD007427,19066669,1
CD007427,16918119,0
CD007427,19380327,0
CD007427,16194738,0
CD007427,9875947,1
CD007427,19756589,0
CD007427,8698718,1
CD007427,19385554,0
CD007427,19385552,0
CD007427,17998780,0
CD007427,18555732,1
CD007427,16060555,0
CD007427,17279037,1
CD007427,19082409,0
CD007427,19483078,0
CD007427,17724559,0
CD007427,18992694,0
CD007427,17438656,0
CD007427,12079911,1
CD007427,19557486,0
CD007427,15889041,0
CD007427,16958437,1
CD007427,16958434,0
CD007427,16958438,0
CD007427,16643194,0
CD007427,17403799,0
CD007427,19234889,0
CD007427,10652669,1
CD007427,17403796,0
CD007427,16171640,0
CD007427,20124055,0
CD007427,16171647,0
CD007427,18629425,0
CD007427,16567784,0
CD007427,15805213,0
CD007427,19171276,0
CD007427,20166353,0
CD007427,16572024,0
CD007427,19423421,0
CD007427,19171279,0
CD007427,329174,1
CD007427,16143872,0
CD007427,16287018,0
CD007427,15877219,0
CD007427,19052931,0
CD007427,17489525,0
CD007427,11796399,1
CD007427,19833290,0
CD007427,1670434,1
CD007427,18458243,0
CD007427,19770304,0
CD007427,19461244,0
CD007427,20023356,0
CD007427,19711169,0
CD007427,18320386,0
CD007427,17531513,0
CD007427,18815043,0
CD007427,18320380,0
CD007427,18725652,0
CD007427,19515583,0
CD007427,17418345,0
CD007427,9160946,1
CD007427,15911143,0
CD007427,15834056,0
CD007427,18803437,0
CD007427,19062307,0
CD007427,16871412,0
CD007427,17137058,0
CD007427,19336812,0
CD007427,18786837,0
CD007427,16337521,0
CD007427,16337522,0
CD007427,16337525,0
CD007427,16337524,0
CD007427,18347778,0
CD007427,18069008,0
CD007427,16098645,0
CD007427,19020211,0
CD007427,7552206,1
CD007427,19732644,0
CD007427,19884997,0
CD007427,19732642,0
CD007427,18196406,0
CD007427,18414860,0
CD007427,16881465,0
CD007427,16881467,0
CD007427,17664342,0
CD007427,16881468,0
CD007427,18678575,0
CD007427,17560471,0
CD007427,15789010,0
CD007427,17075105,0
CD007427,18591598,0
CD007427,18591599,0
CD007427,18703377,0
CD007427,17637405,0
CD007427,16145533,0
CD007427,18236730,0
CD007427,19539441,0
CD007427,18696196,0
CD007427,15680567,0
CD007427,17916488,0
CD007427,15995114,0
CD007427,17720798,1
CD007427,16459854,0
CD007427,16459855,0
CD007427,18760208,0
CD007427,18760206,0
CD007427,18760207,0
CD007427,18760204,0
CD007427,19194018,0
CD007427,18760203,0
CD007427,16172860,0
CD007427,19292164,0
CD007427,19995682,0
CD007427,15533608,0
CD007427,16762585,0
CD007427,16394743,0
CD007427,17138640,0
CD007427,16549619,0
CD007427,19995498,0
CD007427,19995495,0
CD007427,16845547,0
CD007427,19841837,0
CD007427,18835532,0
CD007427,15713296,0
CD007427,18375587,0
CD007427,19693488,0
CD007427,17851709,0
CD007427,19028159,0
CD007427,19359418,0
CD007427,17513136,0
CD007427,18621553,0
CD007427,19185661,0
CD007427,18316156,0
CD007427,19570214,0
CD007427,17687121,0
CD007427,19168731,0
CD007427,18641370,0
CD007427,16352733,0
CD007427,16047388,0
CD007427,15703964,0
CD007427,19481859,0
CD007427,19089523,0
CD007427,19077723,0
CD007427,17644006,0
CD007427,18422568,0
CD007427,15572311,1
CD007427,17077728,0
CD007427,17151798,0
CD007427,19160210,0
CD007427,16846761,0
CD007427,16180006,0
CD007427,17352416,0
CD007427,19824592,0
CD007427,17027412,0
CD007427,19504120,0
CD007427,20117638,0
CD007427,18463295,0
CD007427,20117637,0
CD007427,19885050,0
CD007427,16831643,0
CD007427,18063171,0
