topicid,pid,relevent_score
CD009020,11046178,0
CD009020,9397454,0
CD009020,17213772,0
CD009020,16123875,0
CD009020,7754891,1
CD009020,16848145,0
CD009020,20506954,0
CD009020,18300628,0
CD009020,10210067,0
CD009020,9356935,0
CD009020,9356936,0
CD009020,20421173,0
CD009020,8488437,0
CD009020,1560504,0
CD009020,19499278,0
CD009020,17012434,0
CD009020,20733590,0
CD009020,7754892,0
CD009020,1288376,1
CD009020,1288377,1
CD009020,1288375,0
CD009020,7735751,0
CD009020,15111910,0
CD009020,15687154,0
CD009020,16267650,0
CD009020,18978411,0
CD009020,20844178,0
CD009020,20710092,0
CD009020,9446120,1
CD009020,16882890,0
CD009020,1489363,1
CD009020,19730855,0
CD009020,18004606,0
CD009020,17233496,0
CD009020,1729292,0
CD009020,8357686,1
CD009020,16114204,0
CD009020,10093412,0
CD009020,10874191,0
CD009020,15150644,0
CD009020,15150645,0
CD009020,8237322,0
CD009020,2663290,0
CD009020,15104040,0
CD009020,17042899,0
CD009020,10457553,0
CD009020,18094290,0
CD009020,21310940,0
CD009020,11289632,0
CD009020,15057423,0
CD009020,1348555,0
CD009020,17440708,0
CD009020,7617385,0
CD009020,7800193,0
CD009020,9426783,0
CD009020,10616812,0
CD009020,3299961,0
CD009020,9055527,0
CD009020,10580943,1
CD009020,10580942,0
CD009020,17563662,0
CD009020,15383980,0
CD009020,12589484,0
CD009020,12589487,0
CD009020,15674840,0
CD009020,15478149,0
CD009020,3183135,0
CD009020,19349223,0
CD009020,3512571,0
CD009020,17825744,0
CD009020,1802153,0
CD009020,3916822,1
CD009020,2107675,1
CD009020,10668512,0
CD009020,16205148,0
CD009020,12579145,0
CD009020,19685265,0
CD009020,19204365,0
CD009020,20065375,0
CD009020,17473128,0
CD009020,8686465,0
CD009020,17671017,0
CD009020,17671016,0
CD009020,15553955,0
CD009020,18774738,0
CD009020,16200049,0
CD009020,18774737,0
CD009020,20048492,0
CD009020,16632711,0
CD009020,11798999,0
CD009020,19357996,0
CD009020,14730038,0
CD009020,8734209,0
CD009020,15756195,0
CD009020,15034655,0
CD009020,2665103,0
CD009020,1421996,0
CD009020,17361872,0
CD009020,21052116,0
CD009020,17659559,1
CD009020,20616950,0
CD009020,19541525,0
